remove papi/5.4.3 (LD_LIBRARY_PATH, PAPI_INCL, PAPI_LIBS)
remove binutils/2.39 (PATH, MANPATH, LD_LIBRARY_PATH)
remove gcc/12.2.0 (PATH, MANPATH, LD_LIBRARY_PATH)
load binutils/2.39 (PATH, MANPATH, LD_LIBRARY_PATH)
load gcc/12.2.0 (PATH, MANPATH, LD_LIBRARY_PATH)
load papi/5.4.3 (LD_LIBRARY_PATH, PAPI_INCL, PAPI_LIBS)
rm -rf bin/*.x
gcc -O2 -mcpu=native -I/apps/papi/5.4.3/include -L/apps/papi/5.4.3/lib -lpapi src/work.c src/stats.c src/aarch64.dp.c -o bin/aarch64.dp.x -lm -lpthread -fopenmp -DNITERS=100000 
gcc -O2 -mcpu=native -I/apps/papi/5.4.3/include -L/apps/papi/5.4.3/lib -lpapi src/work.c src/stats.c src/aarch64.sp.c -o bin/aarch64.sp.x -lm -lpthread -fopenmp -DNITERS=100000 
gcc -O2 -mcpu=native -I/apps/papi/5.4.3/include -L/apps/papi/5.4.3/lib -lpapi src/work.c src/stats.c src/neon.dp.c -o bin/neon.dp.x -lm -lpthread -fopenmp -DNITERS=100000 
gcc -O2 -mcpu=native -I/apps/papi/5.4.3/include -L/apps/papi/5.4.3/lib -lpapi src/work.c src/stats.c src/neon.sp.c -o bin/neon.sp.x -lm -lpthread -fopenmp -DNITERS=100000 
/home/mhpc25-06/monday_03/FPU_uKernel/run
###########################################################
# ISA: aarch64.sp
###########################################################
thread_id, iteration, cycles, instructions, us, fops, GHz, Flop/cycle, GFlop/s, IPC
 0, 100, 1000111098, 1640020598, 669805, 32000000, 1.49, 3.20, 4.78, 1.64
 0, 200, 1000098260, 1640019300, 579655, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 300, 1000095424, 1640019300, 579572, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 400, 1000094091, 1640019300, 579477, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 500, 1000101618, 1640019300, 580162, 32000000, 1.72, 3.20, 5.52, 1.64
 0, 600, 1000098302, 1640019300, 579481, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 700, 1000097821, 1640019300, 579648, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 800, 1000096089, 1640019300, 579587, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 900, 1000097702, 1640019300, 579965, 32000000, 1.72, 3.20, 5.52, 1.64
 0, 1000, 1000096258, 1640019300, 579576, 32000000, 1.73, 3.20, 5.52, 1.64


###########################################################
# ISA: aarch64.dp
###########################################################
thread_id, iteration, cycles, instructions, us, fops, GHz, Flop/cycle, GFlop/s, IPC
 0, 100, 1000108486, 1640020598, 579702, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 200, 1000098961, 1640019300, 579492, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 300, 1000099428, 1640019300, 579445, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 400, 1000103743, 1640019300, 579595, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 500, 1000098267, 1640019300, 579418, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 600, 1000099232, 1640019300, 579453, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 700, 1000097244, 1640019300, 579439, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 800, 1000097556, 1640019300, 579495, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 900, 1000099190, 1640019300, 579456, 32000000, 1.73, 3.20, 5.52, 1.64
 0, 1000, 1000101031, 1640019300, 579469, 32000000, 1.73, 3.20, 5.52, 1.64


###########################################################
# ISA: neon.sp
###########################################################
thread_id, iteration, cycles, instructions, us, fops, GHz, Flop/cycle, GFlop/s, IPC
 0, 100, 1610122196, 1640020598, 1020692, 128000000, 1.58, 7.95, 12.54, 1.02
 0, 200, 1610105058, 1640019300, 931576, 128000000, 1.73, 7.95, 13.74, 1.02
 0, 300, 1610107871, 1640019300, 931592, 128000000, 1.73, 7.95, 13.74, 1.02
